"LoTs","average_distances"
"123510_11111",0.030606666140383
"1234510_11111",0.0313423993844388
"12510_11111",0.0326347584825286
"12345610_11111",0.0368530063041122
"1510_11111",0.0390068215818113
"12310_11111",0.0402127320607599
"123410_11111",0.0421456695933556
"1251020_11111",0.0443362863078071
"123456710_11111",0.0452429191250431
"1234567810_11111",0.0455925466522019
"1210_11111",0.0464712287887209
"1234561020_11111",0.0473188084372901
"123451020_11111",0.0474660470881934
"12351020_11111",0.0474736480947575
"151020_11111",0.0479528374928291
"123456781020_11111",0.0494953242668367
"12345678910_11111",0.0502004712048798
"12345671020_11111",0.0503057922460262
"1234567891020_11111",0.0505802562861872
"15_11111",0.05070143634706
"125_11111",0.0551354859119617
"1231020_11111",0.0587628578948926
"110_11111",0.0606770027458406
"12341020_11111",0.0607008253241758
"121020_11111",0.0674554074497111
"1235_11111",0.0694000844619386
"12345_11111",0.0722109870410684
"11020_11111",0.0771450384236395
"1520_11111",0.0806302302039844
"12520_11111",0.0896769470818006
"12_11111",0.0907070623084102
"123520_11111",0.0909515580350044
"123456_11111",0.0946375507927643
"1234520_11111",0.0976452492391799
"1_11111",0.102006208388127
"123_11111",0.103782191209014
"1234567_11111",0.116048301979039
"12345620_11111",0.117381517695407
"12345678_11111",0.119746366026689
"123456789_11111",0.127630244491599
"123456720_11111",0.130088352398206
"1234567820_11111",0.131016819915354
"12345678920_11111",0.132906919824993
"1234_11111",0.143819421622013
"12320_11111",0.160019576878813
"1220_11111",0.176621948536862
"123420_11111",0.178132560595184
"120_11111",0.217014631915517
