"extension","complexity123_11111","complexity12_11111","complexity1_11111","complexity1234_11111","complexity12345_11111","complexity123456_11111","complexity1234567_11111","complexity12345678_11111","complexity123456789_11111","complexity12345678910_11111","complexity12310_11111","complexity1210_11111","complexity110_11111","complexity123410_11111","complexity1234510_11111","complexity12345610_11111","complexity123456710_11111","complexity1234567810_11111","complexity12320_11111","complexity1220_11111","complexity120_11111","complexity123420_11111","complexity1234520_11111","complexity12345620_11111","complexity123456720_11111","complexity1234567820_11111","complexity12345678920_11111","complexity1235_11111","complexity125_11111","complexity15_11111","complexity123510_11111","complexity12510_11111","complexity1510_11111","complexity123520_11111","complexity12520_11111","complexity1520_11111","complexity12351020_11111","complexity1251020_11111","complexity151020_11111","complexity1231020_11111","complexity121020_11111","complexity11020_11111","complexity12341020_11111","complexity123451020_11111","complexity1234561020_11111","complexity12345671020_11111","complexity123456781020_11111","complexity1234567891020_11111"
"1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10",5,7,13,5,3,3,3,3,3,1,1,1,1,1,1,1,1,1,5,7,13,5,3,3,3,3,3,3,3,3,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1
"11",5,9,15,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,5,9,13,5,5,3,3,3,3,5,5,5,3,3,3,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3
"12",5,7,13,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,5,7,13,3,3,3,3,3,3,5,5,7,3,3,5,5,5,7,3,3,5,3,3,5,3,3,3,3,3,3
"13",7,9,15,5,5,5,3,3,3,3,3,5,7,3,3,3,3,3,7,9,13,5,5,5,3,3,3,5,7,9,3,5,7,5,5,7,3,5,7,3,5,7,3,3,3,3,3,3
"14",7,9,15,5,5,5,3,3,3,3,5,5,9,3,3,3,3,3,5,7,11,5,5,3,3,3,3,5,5,7,5,5,5,5,5,5,5,5,5,5,5,9,3,3,3,3,3,3
"15",5,9,15,5,3,3,3,3,3,3,5,7,11,5,3,3,3,3,5,7,11,5,3,3,3,3,3,3,5,5,3,3,3,3,3,3,3,3,3,5,7,11,5,3,3,3,3,3
"16",7,7,15,3,3,3,3,3,3,3,5,5,9,3,3,3,3,3,5,5,9,3,3,3,3,3,3,5,7,7,5,5,5,5,5,5,5,5,5,5,5,9,3,3,3,3,3,3
"17",7,9,17,5,5,5,5,5,3,3,5,7,9,5,5,5,3,3,3,5,7,3,3,3,3,3,3,5,7,9,5,5,7,3,5,7,3,5,7,3,5,7,3,3,3,3,3,3
"18",5,9,15,5,5,3,3,3,3,3,5,5,7,5,5,3,3,3,3,3,5,3,3,3,3,3,3,5,7,9,5,5,7,3,3,5,3,3,5,3,3,5,3,3,3,3,3,3
"19",7,11,17,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,7,7,7,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"2",1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,3,1,1,3,1,1,3,1,1,3,1,1,1,1,1,1
"20",7,9,17,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,5,5,5,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"21",7,11,17,5,5,5,3,3,3,3,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,5,7,7,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"22",7,11,19,7,5,5,5,5,5,5,5,5,7,5,5,5,5,5,3,3,5,3,3,3,3,3,3,5,7,9,5,5,7,3,3,5,3,3,5,3,3,5,3,3,3,3,3,3
"23",9,11,19,7,5,5,5,5,5,5,5,7,9,5,5,5,5,5,3,5,7,3,3,3,3,3,3,5,5,7,5,5,7,3,5,7,3,5,7,3,5,7,3,3,3,3,3,3
"24",7,9,17,5,5,3,3,3,3,3,5,5,9,5,5,3,3,3,5,5,9,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,3,3,3,3,3,3
"25",7,11,19,7,3,3,3,3,3,3,7,7,11,7,3,3,3,3,5,7,11,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,7,11,5,3,3,3,3,3
"26",7,11,19,7,5,5,5,5,5,5,5,7,11,5,5,5,5,5,5,7,11,5,5,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,7,11,5,5,3,3,3,3
"27",5,11,17,5,5,5,5,5,3,3,5,7,9,5,5,5,5,5,5,9,13,5,5,5,3,3,3,5,5,7,5,5,7,5,5,7,5,5,7,5,7,9,5,5,5,3,3,3
"28",7,11,19,5,5,5,3,3,3,3,5,7,9,5,5,5,3,3,7,7,13,5,5,5,3,3,3,5,7,9,5,7,9,5,7,9,5,5,7,5,5,7,5,5,5,3,3,3
"29",7,13,21,7,5,5,5,5,5,5,5,7,7,5,5,5,5,5,5,9,13,5,5,5,5,5,3,7,7,7,5,7,7,5,7,7,5,5,5,5,5,5,5,5,5,5,5,3
"3",1,3,5,1,1,1,1,1,1,1,1,3,5,1,1,1,1,1,1,3,5,1,1,1,1,1,1,1,3,5,1,3,5,1,3,5,1,3,5,1,3,5,1,1,1,1,1,1
